Student_id,Stress Coping Mechanisms,Stress Level Category,Age,Academic Performance (GPA),Study Hours Per Week,Social_Media_Usage_per_week,Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Counseling Attendance,Diet Quality,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use,Gender_Female,Gender_Male,Gender_Other,Stress_Ratio
177,Watching Sports,Low,27,3,39,21,4,6,1,3,1,5,1,4,2,1,0,5,0,1,0,2.9999700002999967
2971,Walking or Nature Walks,High,19,3,19,56,6,9,3,3,2,1,1,5,5,1,0,2,0,0,1,0.9999966666777778
5242,Talking to Friends,High,30,0,54,49,11,5,2,2,4,2,1,2,1,0,1,4,0,1,0,0.9999950000249999
754,Travelling,Medium,19,4,7,42,7,8,2,1,1,3,1,2,1,0,0,4,0,1,0,0.49999750001249993
5200,Watching Sports,Low,21,3,48,0,6,10,3,3,1,4,1,5,1,1,1,4,0,0,0,0.9999966666777778
4413,Spending Time Alone,Low,19,3,18,21,7,7,4,2,4,4,1,2,1,1,0,4,1,0,0,0.49999875000312505
1803,Talking to Friends,High,24,4,16,42,9,8,2,3,4,5,1,5,4,0,1,3,0,1,0,1.4999925000374998
4475,Watching Sports,Medium,25,1,9,14,6,8,4,1,4,4,0,1,4,1,0,5,0,0,0,0.24999937500156252
2555,Yoga,Medium,19,1,35,7,10,6,4,4,1,3,0,5,2,1,0,1,0,0,0,0.9999975000062501
988,Talking to Friends,High,30,1,24,35,9,7,2,4,1,3,1,2,3,0,1,4,0,0,1,1.9999900000499997
449,Walking or Nature Walks,Low,27,0,27,14,7,5,5,3,5,3,0,5,5,1,0,1,0,0,0,0.5999988000024
2651,Social Media Engagement,High,29,2,28,7,11,3,4,2,4,4,0,2,5,0,1,4,1,0,0,0.49999875000312505
2112,Watching Sports,Low,20,0,10,35,11,0,4,5,4,5,0,1,5,1,0,4,0,1,0,1.2499968750078125
1319,Exercise,High,26,4,28,21,11,10,5,4,3,2,1,2,5,1,0,2,0,0,0,0.7999984000032001
2597,Social Media Engagement,High,26,2,-1,28,5,2,4,4,2,5,0,2,4,0,0,5,0,0,0,0.9999975000062501
3029,Travelling,Low,20,2,38,42,7,8,5,1,1,2,0,4,4,0,0,2,0,0,0,0.19999960000080003
3228,Reading,High,30,2,56,42,10,8,5,4,3,2,1,5,5,0,1,4,0,0,0,0.7999984000032001
3171,Exercise,Low,19,4,22,28,5,0,5,3,3,2,1,3,2,1,1,5,0,0,1,0.5999988000024
2399,Spending Time Alone,Medium,24,3,37,42,10,6,3,1,2,5,0,4,3,0,1,4,0,0,1,0.3333322222259259
1979,Yoga,Low,22,2,46,0,9,7,2,2,3,2,0,4,3,0,0,4,0,0,0,0.9999950000249999
614,Watching Sports,Low,21,3,1,56,8,5,5,1,4,2,1,2,3,0,0,5,0,1,0,0.19999960000080003
2439,Reading,High,29,1,50,56,6,5,1,1,3,3,0,2,5,0,1,1,0,0,1,0.9999900000999989
2181,Yoga,Low,29,3,42,0,12,8,4,4,2,5,0,2,4,1,0,2,1,0,0,0.9999975000062501
3928,Yoga,High,23,1,33,28,5,4,4,3,1,3,0,5,2,0,0,3,0,1,0,0.7499981250046875
5135,Talking to Friends,Low,22,3,49,49,11,7,2,4,3,5,0,2,4,1,1,3,0,1,0,1.9999900000499997
4252,Travelling,High,19,4,9,0,9,9,2,1,1,3,1,3,4,1,1,5,1,0,0,0.49999750001249993
1148,Reading,Low,28,0,46,7,9,10,2,3,2,2,1,4,3,1,1,3,0,0,0,1.4999925000374998
1940,Travelling,Low,29,1,-6,49,8,8,2,2,1,3,0,4,4,0,1,4,0,0,1,0.9999950000249999
3036,Social Media Engagement,High,24,2,51,21,11,3,3,3,4,5,1,5,4,1,0,1,0,0,0,0.9999966666777778
1352,Walking or Nature Walks,Low,21,1,22,14,11,7,3,1,2,1,1,3,4,1,1,1,0,0,1,0.3333322222259259
2213,Walking or Nature Walks,Low,21,2,34,14,4,0,2,3,4,4,1,5,1,0,0,4,0,1,0,1.4999925000374998
4162,Reading,Medium,23,0,46,0,4,6,5,4,4,2,1,1,2,1,1,2,1,0,0,0.7999984000032001
